Year,Series,Edad,Sexo,Tipo de contrato,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2020,Tasa de ocupación,16 años y más,,,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,51.5
2019,Tasa de ocupación,16 años y más,,,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,51.8
2015,Tasa de ocupación,16 años y más,,,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,49.5
2023,Tasa de ocupación,16 años y más,,,,,Aduna,Porcentaje,Aduna,67.3
2021,Tasa de ocupación,16 años y más,,,,,Aduna,Porcentaje,Aduna,67.0
2019,Tasa de ocupación,16 años y más,,,,,Aduna,Porcentaje,Aduna,65.3
2018,Tasa de ocupación,16 años y más,,,,,Aduna,Porcentaje,Aduna,65.0
2016,Tasa de ocupación,16 años y más,,,,,Aduna,Porcentaje,Aduna,62.5
2010,Tasa de ocupación,16 años y más,,,,,Aduna,Porcentaje,Aduna,62.9
2022,Tasa de ocupación,16 años y más,,,,,Aduna,Porcentaje,Aduna,65.7
2015,Tasa de ocupación,16 años y más,,,,,Aduna,Porcentaje,Aduna,61.4
2020,Tasa de ocupación,16 años y más,,,,,Aduna,Porcentaje,Aduna,65.4
2019,Tasa de ocupación,16 años y más,,,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,53.0
2016,Tasa de ocupación,16 años y más,,,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,52.8
2020,Tasa de ocupación,16 años y más,,,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,53.6
2023,Tasa de ocupación,16 años y más,,,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,54.8
2018,Tasa de ocupación,16 años y más,,,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,53.2
2022,Tasa de ocupación,16 años y más,,,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,55.4
2015,Tasa de ocupación,16 años y más,,,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,53.3
2010,Tasa de ocupación,16 años y más,,,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,55.8
2021,Tasa de ocupación,16 años y más,,,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,52.7
2015,Tasa de ocupación,16 años y más,,,,,Aia,Porcentaje,Aia,56.3
2016,Tasa de ocupación,16 años y más,,,,,Aia,Porcentaje,Aia,56.2
2020,Tasa de ocupación,16 años y más,,,,,Aia,Porcentaje,Aia,60.5
2023,Tasa de ocupación,16 años y más,,,,,Aia,Porcentaje,Aia,62.1
2022,Tasa de ocupación,16 años y más,,,,,Aia,Porcentaje,Aia,61.3
2010,Tasa de ocupación,16 años y más,,,,,Aia,Porcentaje,Aia,57.1
2021,Tasa de ocupación,16 años y más,,,,,Aia,Porcentaje,Aia,60.3
2018,Tasa de ocupación,16 años y más,,,,,Aia,Porcentaje,Aia,58.1
2019,Tasa de ocupación,16 años y más,,,,,Aia,Porcentaje,Aia,60.1
2023,Tasa de ocupación,16 años y más,,,,,Aizarnazabal,Porcentaje,Aizarnazabal,57.6
2016,Tasa de ocupación,16 años y más,,,,,Aizarnazabal,Porcentaje,Aizarnazabal,53.8
2020,Tasa de ocupación,16 años y más,,,,,Aizarnazabal,Porcentaje,Aizarnazabal,56.6
2015,Tasa de ocupación,16 años y más,,,,,Aizarnazabal,Porcentaje,Aizarnazabal,54.0
2018,Tasa de ocupación,16 años y más,,,,,Aizarnazabal,Porcentaje,Aizarnazabal,55.7
2010,Tasa de ocupación,16 años y más,,,,,Aizarnazabal,Porcentaje,Aizarnazabal,57.5
2019,Tasa de ocupación,16 años y más,,,,,Aizarnazabal,Porcentaje,Aizarnazabal,56.2
2022,Tasa de ocupación,16 años y más,,,,,Aizarnazabal,Porcentaje,Aizarnazabal,55.1
2021,Tasa de ocupación,16 años y más,,,,,Aizarnazabal,Porcentaje,Aizarnazabal,53.6
2023,Tasa de ocupación,16 años y más,,,,,Ajangiz,Porcentaje,Ajangiz,54.8
2010,Tasa de ocupación,16 años y más,,,,,Ajangiz,Porcentaje,Ajangiz,56.5
2019,Tasa de ocupación,16 años y más,,,,,Ajangiz,Porcentaje,Ajangiz,58.7
2021,Tasa de ocupación,16 años y más,,,,,Ajangiz,Porcentaje,Ajangiz,52.7
2018,Tasa de ocupación,16 años y más,,,,,Ajangiz,Porcentaje,Ajangiz,56.8
2020,Tasa de ocupación,16 años y más,,,,,Ajangiz,Porcentaje,Ajangiz,56.7
2015,Tasa de ocupación,16 años y más,,,,,Ajangiz,Porcentaje,Ajangiz,55.7
2016,Tasa de ocupación,16 años y más,,,,,Ajangiz,Porcentaje,Ajangiz,57.7
2022,Tasa de ocupación,16 años y más,,,,,Ajangiz,Porcentaje,Ajangiz,54.5
2020,Tasa de ocupación,16 años y más,,,,,Albiztur,Porcentaje,Albiztur,62.1
2022,Tasa de ocupación,16 años y más,,,,,Albiztur,Porcentaje,Albiztur,59.1
2015,Tasa de ocupación,16 años y más,,,,,Albiztur,Porcentaje,Albiztur,59.7
2018,Tasa de ocupación,16 años y más,,,,,Albiztur,Porcentaje,Albiztur,57.9
2023,Tasa de ocupación,16 años y más,,,,,Albiztur,Porcentaje,Albiztur,60.5
2016,Tasa de ocupación,16 años y más,,,,,Albiztur,Porcentaje,Albiztur,56.6
2010,Tasa de ocupación,16 años y más,,,,,Albiztur,Porcentaje,Albiztur,53.2
2019,Tasa de ocupación,16 años y más,,,,,Albiztur,Porcentaje,Albiztur,62.4
2021,Tasa de ocupación,16 años y más,,,,,Albiztur,Porcentaje,Albiztur,57.1
2019,Tasa de ocupación,16 años y más,,,,,Alegia,Porcentaje,Alegia,51.1
2020,Tasa de ocupación,16 años y más,,,,,Alegia,Porcentaje,Alegia,52.4
2023,Tasa de ocupación,16 años y más,,,,,Alegia,Porcentaje,Alegia,53.2
2010,Tasa de ocupación,16 años y más,,,,,Alegia,Porcentaje,Alegia,53.0
2015,Tasa de ocupación,16 años y más,,,,,Alegia,Porcentaje,Alegia,49.2
2022,Tasa de ocupación,16 años y más,,,,,Alegia,Porcentaje,Alegia,53.6
2021,Tasa de ocupación,16 años y más,,,,,Alegia,Porcentaje,Alegia,51.3
2018,Tasa de ocupación,16 años y más,,,,,Alegia,Porcentaje,Alegia,51.0
2016,Tasa de ocupación,16 años y más,,,,,Alegia,Porcentaje,Alegia,48.2
2016,Tasa de ocupación,16 años y más,,,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,62.4
2019,Tasa de ocupación,16 años y más,,,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,61.7
2021,Tasa de ocupación,16 años y más,,,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,59.4
2023,Tasa de ocupación,16 años y más,,,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,62.0
2018,Tasa de ocupación,16 años y más,,,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,63.2
2020,Tasa de ocupación,16 años y más,,,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,61.8
2010,Tasa de ocupación,16 años y más,,,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,66.2
2015,Tasa de ocupación,16 años y más,,,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,64.0
2022,Tasa de ocupación,16 años y más,,,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,61.4
2018,Tasa de ocupación,16 años y más,,,,,Alkiza,Porcentaje,Alkiza,63.3
2010,Tasa de ocupación,16 años y más,,,,,Alkiza,Porcentaje,Alkiza,61.4
2019,Tasa de ocupación,16 años y más,,,,,Alkiza,Porcentaje,Alkiza,61.0
2022,Tasa de ocupación,16 años y más,,,,,Alkiza,Porcentaje,Alkiza,60.8
2015,Tasa de ocupación,16 años y más,,,,,Alkiza,Porcentaje,Alkiza,63.5
2020,Tasa de ocupación,16 años y más,,,,,Alkiza,Porcentaje,Alkiza,60.4
2021,Tasa de ocupación,16 años y más,,,,,Alkiza,Porcentaje,Alkiza,55.7
2016,Tasa de ocupación,16 años y más,,,,,Alkiza,Porcentaje,Alkiza,62.0
2023,Tasa de ocupación,16 años y más,,,,,Alkiza,Porcentaje,Alkiza,58.5
2023,Tasa de ocupación,16 años y más,,,,,Alonsotegi,Porcentaje,Alonsotegi,50.8
2022,Tasa de ocupación,16 años y más,,,,,Alonsotegi,Porcentaje,Alonsotegi,50.7
2019,Tasa de ocupación,16 años y más,,,,,Alonsotegi,Porcentaje,Alonsotegi,48.1
2016,Tasa de ocupación,16 años y más,,,,,Alonsotegi,Porcentaje,Alonsotegi,46.0
2021,Tasa de ocupación,16 años y más,,,,,Alonsotegi,Porcentaje,Alonsotegi,49.2
2015,Tasa de ocupación,16 años y más,,,,,Alonsotegi,Porcentaje,Alonsotegi,45.8
2010,Tasa de ocupación,16 años y más,,,,,Alonsotegi,Porcentaje,Alonsotegi,48.7
2018,Tasa de ocupación,16 años y más,,,,,Alonsotegi,Porcentaje,Alonsotegi,49.2
2020,Tasa de ocupación,16 años y más,,,,,Alonsotegi,Porcentaje,Alonsotegi,49.9
2022,Tasa de ocupación,16 años y más,,,,,Altzaga,Porcentaje,Altzaga,57.9
2020,Tasa de ocupación,16 años y más,,,,,Altzaga,Porcentaje,Altzaga,50.7
2019,Tasa de ocupación,16 años y más,,,,,Altzaga,Porcentaje,Altzaga,53.6
2015,Tasa de ocupación,16 años y más,,,,,Altzaga,Porcentaje,Altzaga,55.1
2021,Tasa de ocupación,16 años y más,,,,,Altzaga,Porcentaje,Altzaga,50.8
2018,Tasa de ocupación,16 años y más,,,,,Altzaga,Porcentaje,Altzaga,50.0
2023,Tasa de ocupación,16 años y más,,,,,Altzaga,Porcentaje,Altzaga,52.6
2010,Tasa de ocupación,16 años y más,,,,,Altzaga,Porcentaje,Altzaga,67.2
2016,Tasa de ocupación,16 años y más,,,,,Altzaga,Porcentaje,Altzaga,53.9
2020,Tasa de ocupación,16 años y más,,,,,Altzo,Porcentaje,Altzo,55.1
2010,Tasa de ocupación,16 años y más,,,,,Altzo,Porcentaje,Altzo,61.6
2015,Tasa de ocupación,16 años y más,,,,,Altzo,Porcentaje,Altzo,55.6
2019,Tasa de ocupación,16 años y más,,,,,Altzo,Porcentaje,Altzo,62.5
2022,Tasa de ocupación,16 años y más,,,,,Altzo,Porcentaje,Altzo,57.6
2023,Tasa de ocupación,16 años y más,,,,,Altzo,Porcentaje,Altzo,57.4
2016,Tasa de ocupación,16 años y más,,,,,Altzo,Porcentaje,Altzo,55.4
2021,Tasa de ocupación,16 años y más,,,,,Altzo,Porcentaje,Altzo,54.7
2018,Tasa de ocupación,16 años y más,,,,,Altzo,Porcentaje,Altzo,57.4
2018,Tasa de ocupación,16 años y más,,,,,Amezketa,Porcentaje,Amezketa,53.4
2020,Tasa de ocupación,16 años y más,,,,,Amezketa,Porcentaje,Amezketa,54.1
2016,Tasa de ocupación,16 años y más,,,,,Amezketa,Porcentaje,Amezketa,50.9
2010,Tasa de ocupación,16 años y más,,,,,Amezketa,Porcentaje,Amezketa,53.4
2019,Tasa de ocupación,16 años y más,,,,,Amezketa,Porcentaje,Amezketa,54.3
2015,Tasa de ocupación,16 años y más,,,,,Amezketa,Porcentaje,Amezketa,52.5
2022,Tasa de ocupación,16 años y más,,,,,Amezketa,Porcentaje,Amezketa,56.3
2021,Tasa de ocupación,16 años y más,,,,,Amezketa,Porcentaje,Amezketa,52.5
2023,Tasa de ocupación,16 años y más,,,,,Amezketa,Porcentaje,Amezketa,53.2
2019,Tasa de ocupación,16 años y más,,,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,54.4
2021,Tasa de ocupación,16 años y más,,,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,53.4
2018,Tasa de ocupación,16 años y más,,,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,54.1
2016,Tasa de ocupación,16 años y más,,,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,52.4
2020,Tasa de ocupación,16 años y más,,,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,54.6
2010,Tasa de ocupación,16 años y más,,,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,52.8
2023,Tasa de ocupación,16 años y más,,,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,56.6
2015,Tasa de ocupación,16 años y más,,,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,52.1
2022,Tasa de ocupación,16 años y más,,,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,55.4
2019,Tasa de ocupación,16 años y más,,,,,Amoroto,Porcentaje,Amoroto,50.9
2020,Tasa de ocupación,16 años y más,,,,,Amoroto,Porcentaje,Amoroto,49.3
2015,Tasa de ocupación,16 años y más,,,,,Amoroto,Porcentaje,Amoroto,53.3
2016,Tasa de ocupación,16 años y más,,,,,Amoroto,Porcentaje,Amoroto,52.3
2018,Tasa de ocupación,16 años y más,,,,,Amoroto,Porcentaje,Amoroto,51.0
2023,Tasa de ocupación,16 años y más,,,,,Amoroto,Porcentaje,Amoroto,52.2
2010,Tasa de ocupación,16 años y más,,,,,Amoroto,Porcentaje,Amoroto,52.5
2021,Tasa de ocupación,16 años y más,,,,,Amoroto,Porcentaje,Amoroto,49.6
2022,Tasa de ocupación,16 años y más,,,,,Amoroto,Porcentaje,Amoroto,49.7
2018,Tasa de ocupación,16 años y más,,,,,Amurrio,Porcentaje,Amurrio,50.6
2020,Tasa de ocupación,16 años y más,,,,,Amurrio,Porcentaje,Amurrio,51.1
2015,Tasa de ocupación,16 años y más,,,,,Amurrio,Porcentaje,Amurrio,49.5
2022,Tasa de ocupación,16 años y más,,,,,Amurrio,Porcentaje,Amurrio,52.4
2021,Tasa de ocupación,16 años y más,,,,,Amurrio,Porcentaje,Amurrio,50.7
2016,Tasa de ocupación,16 años y más,,,,,Amurrio,Porcentaje,Amurrio,49.1
2019,Tasa de ocupación,16 años y más,,,,,Amurrio,Porcentaje,Amurrio,51.5
2010,Tasa de ocupación,16 años y más,,,,,Amurrio,Porcentaje,Amurrio,51.0
2023,Tasa de ocupación,16 años y más,,,,,Amurrio,Porcentaje,Amurrio,52.3
2021,Tasa de ocupación,16 años y más,,,,,Andoain,Porcentaje,Andoain,51.3
2010,Tasa de ocupación,16 años y más,,,,,Andoain,Porcentaje,Andoain,52.2
2023,Tasa de ocupación,16 años y más,,,,,Andoain,Porcentaje,Andoain,53.0
2018,Tasa de ocupación,16 años y más,,,,,Andoain,Porcentaje,Andoain,51.1
2019,Tasa de ocupación,16 años y más,,,,,Andoain,Porcentaje,Andoain,51.9
2016,Tasa de ocupación,16 años y más,,,,,Andoain,Porcentaje,Andoain,49.6
2020,Tasa de ocupación,16 años y más,,,,,Andoain,Porcentaje,Andoain,52.4
2022,Tasa de ocupación,16 años y más,,,,,Andoain,Porcentaje,Andoain,52.1
2015,Tasa de ocupación,16 años y más,,,,,Andoain,Porcentaje,Andoain,50.1
2018,Tasa de ocupación,16 años y más,,,,,Anoeta,Porcentaje,Anoeta,57.0
2020,Tasa de ocupación,16 años y más,,,,,Anoeta,Porcentaje,Anoeta,58.3
2015,Tasa de ocupación,16 años y más,,,,,Anoeta,Porcentaje,Anoeta,54.2
2010,Tasa de ocupación,16 años y más,,,,,Anoeta,Porcentaje,Anoeta,55.3
2016,Tasa de ocupación,16 años y más,,,,,Anoeta,Porcentaje,Anoeta,54.6
2021,Tasa de ocupación,16 años y más,,,,,Anoeta,Porcentaje,Anoeta,56.6
2019,Tasa de ocupación,16 años y más,,,,,Anoeta,Porcentaje,Anoeta,57.8
2023,Tasa de ocupación,16 años y más,,,,,Anoeta,Porcentaje,Anoeta,58.0
2022,Tasa de ocupación,16 años y más,,,,,Anoeta,Porcentaje,Anoeta,57.7
2010,Tasa de ocupación,16 años y más,,,,,Antzuola,Porcentaje,Antzuola,55.9
2019,Tasa de ocupación,16 años y más,,,,,Antzuola,Porcentaje,Antzuola,57.1
2020,Tasa de ocupación,16 años y más,,,,,Antzuola,Porcentaje,Antzuola,57.1
2018,Tasa de ocupación,16 años y más,,,,,Antzuola,Porcentaje,Antzuola,57.6
2016,Tasa de ocupación,16 años y más,,,,,Antzuola,Porcentaje,Antzuola,55.7
2021,Tasa de ocupación,16 años y más,,,,,Antzuola,Porcentaje,Antzuola,56.2
2015,Tasa de ocupación,16 años y más,,,,,Antzuola,Porcentaje,Antzuola,55.4
2022,Tasa de ocupación,16 años y más,,,,,Antzuola,Porcentaje,Antzuola,58.4
2023,Tasa de ocupación,16 años y más,,,,,Antzuola,Porcentaje,Antzuola,57.2
2022,Tasa de ocupación,16 años y más,,,,,Añana,Porcentaje,Añana,53.3
2016,Tasa de ocupación,16 años y más,,,,,Añana,Porcentaje,Añana,49.7
2018,Tasa de ocupación,16 años y más,,,,,Añana,Porcentaje,Añana,53.3
2021,Tasa de ocupación,16 años y más,,,,,Añana,Porcentaje,Añana,54.3
2020,Tasa de ocupación,16 años y más,,,,,Añana,Porcentaje,Añana,54.0
2019,Tasa de ocupación,16 años y más,,,,,Añana,Porcentaje,Añana,55.7
2023,Tasa de ocupación,16 años y más,,,,,Añana,Porcentaje,Añana,53.7
2015,Tasa de ocupación,16 años y más,,,,,Añana,Porcentaje,Añana,43.7
2010,Tasa de ocupación,16 años y más,,,,,Añana,Porcentaje,Añana,46.3
2016,Tasa de ocupación,16 años y más,,,,,Arakaldo,Porcentaje,Arakaldo,62.2
2019,Tasa de ocupación,16 años y más,,,,,Arakaldo,Porcentaje,Arakaldo,62.4
2022,Tasa de ocupación,16 años y más,,,,,Arakaldo,Porcentaje,Arakaldo,63.1
2020,Tasa de ocupación,16 años y más,,,,,Arakaldo,Porcentaje,Arakaldo,59.0
2021,Tasa de ocupación,16 años y más,,,,,Arakaldo,Porcentaje,Arakaldo,58.0
2010,Tasa de ocupación,16 años y más,,,,,Arakaldo,Porcentaje,Arakaldo,58.4
2015,Tasa de ocupación,16 años y más,,,,,Arakaldo,Porcentaje,Arakaldo,54.0
2018,Tasa de ocupación,16 años y más,,,,,Arakaldo,Porcentaje,Arakaldo,60.2
2023,Tasa de ocupación,16 años y más,,,,,Arakaldo,Porcentaje,Arakaldo,64.2
2022,Tasa de ocupación,16 años y más,,,,,Arama,Porcentaje,Arama,52.7
2016,Tasa de ocupación,16 años y más,,,,,Arama,Porcentaje,Arama,55.6
2019,Tasa de ocupación,16 años y más,,,,,Arama,Porcentaje,Arama,55.0
2018,Tasa de ocupación,16 años y más,,,,,Arama,Porcentaje,Arama,58.4
2020,Tasa de ocupación,16 años y más,,,,,Arama,Porcentaje,Arama,56.7
2015,Tasa de ocupación,16 años y más,,,,,Arama,Porcentaje,Arama,54.1
2023,Tasa de ocupación,16 años y más,,,,,Arama,Porcentaje,Arama,57.5
2010,Tasa de ocupación,16 años y más,,,,,Arama,Porcentaje,Arama,53.5
2021,Tasa de ocupación,16 años y más,,,,,Arama,Porcentaje,Arama,53.3
2019,Tasa de ocupación,16 años y más,,,,,Aramaio,Porcentaje,Aramaio,55.3
2023,Tasa de ocupación,16 años y más,,,,,Aramaio,Porcentaje,Aramaio,53.8
2016,Tasa de ocupación,16 años y más,,,,,Aramaio,Porcentaje,Aramaio,52.9
2010,Tasa de ocupación,16 años y más,,,,,Aramaio,Porcentaje,Aramaio,55.9
2015,Tasa de ocupación,16 años y más,,,,,Aramaio,Porcentaje,Aramaio,52.9
2018,Tasa de ocupación,16 años y más,,,,,Aramaio,Porcentaje,Aramaio,54.8
2022,Tasa de ocupación,16 años y más,,,,,Aramaio,Porcentaje,Aramaio,53.1
2021,Tasa de ocupación,16 años y más,,,,,Aramaio,Porcentaje,Aramaio,51.5
2020,Tasa de ocupación,16 años y más,,,,,Aramaio,Porcentaje,Aramaio,53.6
2010,Tasa de ocupación,16 años y más,,,,,Arantzazu,Porcentaje,Arantzazu,52.7
2020,Tasa de ocupación,16 años y más,,,,,Arantzazu,Porcentaje,Arantzazu,54.1
2018,Tasa de ocupación,16 años y más,,,,,Arantzazu,Porcentaje,Arantzazu,53.5
2022,Tasa de ocupación,16 años y más,,,,,Arantzazu,Porcentaje,Arantzazu,53.3
2019,Tasa de ocupación,16 años y más,,,,,Arantzazu,Porcentaje,Arantzazu,54.2
2021,Tasa de ocupación,16 años y más,,,,,Arantzazu,Porcentaje,Arantzazu,51.1
2016,Tasa de ocupación,16 años y más,,,,,Arantzazu,Porcentaje,Arantzazu,54.3
2023,Tasa de ocupación,16 años y más,,,,,Arantzazu,Porcentaje,Arantzazu,55.1
2015,Tasa de ocupación,16 años y más,,,,,Arantzazu,Porcentaje,Arantzazu,53.4
2015,Tasa de ocupación,16 años y más,,,,,Areatza,Porcentaje,Areatza,51.0
2016,Tasa de ocupación,16 años y más,,,,,Areatza,Porcentaje,Areatza,51.4
2019,Tasa de ocupación,16 años y más,,,,,Areatza,Porcentaje,Areatza,55.8
2010,Tasa de ocupación,16 años y más,,,,,Areatza,Porcentaje,Areatza,51.8
2021,Tasa de ocupación,16 años y más,,,,,Areatza,Porcentaje,Areatza,51.7
2022,Tasa de ocupación,16 años y más,,,,,Areatza,Porcentaje,Areatza,53.5
2018,Tasa de ocupación,16 años y más,,,,,Areatza,Porcentaje,Areatza,54.0
2020,Tasa de ocupación,16 años y más,,,,,Areatza,Porcentaje,Areatza,54.1
2023,Tasa de ocupación,16 años y más,,,,,Areatza,Porcentaje,Areatza,56.0
2016,Tasa de ocupación,16 años y más,,,,,Aretxabaleta,Porcentaje,Aretxabaleta,53.1
2015,Tasa de ocupación,16 años y más,,,,,Aretxabaleta,Porcentaje,Aretxabaleta,52.6
2020,Tasa de ocupación,16 años y más,,,,,Aretxabaleta,Porcentaje,Aretxabaleta,54.6
2010,Tasa de ocupación,16 años y más,,,,,Aretxabaleta,Porcentaje,Aretxabaleta,55.2
2021,Tasa de ocupación,16 años y más,,,,,Aretxabaleta,Porcentaje,Aretxabaleta,53.2
2018,Tasa de ocupación,16 años y más,,,,,Aretxabaleta,Porcentaje,Aretxabaleta,54.2
2019,Tasa de ocupación,16 años y más,,,,,Aretxabaleta,Porcentaje,Aretxabaleta,54.2
2022,Tasa de ocupación,16 años y más,,,,,Aretxabaleta,Porcentaje,Aretxabaleta,54.4
2023,Tasa de ocupación,16 años y más,,,,,Aretxabaleta,Porcentaje,Aretxabaleta,55.3
2015,Tasa de ocupación,16 años y más,,,,,Armiñón,Porcentaje,Armiñón,62.3
2018,Tasa de ocupación,16 años y más,,,,,Armiñón,Porcentaje,Armiñón,63.4
2021,Tasa de ocupación,16 años y más,,,,,Armiñón,Porcentaje,Armiñón,58.9
2010,Tasa de ocupación,16 años y más,,,,,Armiñón,Porcentaje,Armiñón,53.2
2022,Tasa de ocupación,16 años y más,,,,,Armiñón,Porcentaje,Armiñón,64.2
2019,Tasa de ocupación,16 años y más,,,,,Armiñón,Porcentaje,Armiñón,62.9
2020,Tasa de ocupación,16 años y más,,,,,Armiñón,Porcentaje,Armiñón,61.5
2023,Tasa de ocupación,16 años y más,,,,,Armiñón,Porcentaje,Armiñón,59.7
2016,Tasa de ocupación,16 años y más,,,,,Armiñón,Porcentaje,Armiñón,61.6
2022,Tasa de ocupación,16 años y más,,,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,58.6
2019,Tasa de ocupación,16 años y más,,,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,57.0
2018,Tasa de ocupación,16 años y más,,,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,56.1
2023,Tasa de ocupación,16 años y más,,,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,58.1
2010,Tasa de ocupación,16 años y más,,,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,55.3
2021,Tasa de ocupación,16 años y más,,,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,55.7
2016,Tasa de ocupación,16 años y más,,,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,54.5
2015,Tasa de ocupación,16 años y más,,,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,53.7
