Year,Series,Nivel educativo,Units,Value
2022,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,100
2019,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,100
2024,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,100
2020,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,100
2015,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,100
2013,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,100
2010,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,100
2012,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,100
2014,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,100
2017,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,100
2023,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,100
2011,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria inferior,Porcentaje,100
2010,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,100
2020,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,100
2012,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,100
2011,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,100
2014,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,100
2013,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,100
2015,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,100
2018,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,100
2016,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,100
2024,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,100
2017,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,100
2019,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,100
2022,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,100
2021,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,100
2023,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",Secundaria superior,Porcentaje,100
